,Company Name,Job Title,Location
0,Evolent Health,Data Science- Intern,"Pune, Maharashtra, India"
1,Morgan Stanley,Data Engineer / Data Analys,"Mumbai, Maharashtra, India"
2,IBM,Data Engineer: Big Data,"Pune, Maharashtra, India"
3,JPMorgan Chase & Co.,Software Engineering,"Mumbai, Maharashtra, India"
4,JoVE,Curriculum Specialis,"Mumbai, Maharashtra, India"
5,Accenture,AWS BigData,"Mumbai, Maharashtra, India"
6,Sitel,Report Developer,"Mumbai, Maharashtra, India"
7,Michelin,Data -Software Engineer -3.,"Pune, Maharashtra, India"
8,Citi,Data Scientist - Python/R,"Pune, Maharashtra, India"
9,Accenture in India,Data Analytics and Interpretation Application Lead,"Pune, Maharashtra, India"
10,Western Union,"Analyst, Cloud Data Engineering","Pune, Maharashtra, India"
11,TIBCO,Support Engineer,"Pune, Maharashtra, India"
12,Western Union,"Senior Associate, Solution Engineering.","Pune, Maharashtra, India"
13,Icertis,Associate Architect - Data Scienc,"Shirur Sub-District, Maharashtra, India"
14,LTI - Larsen & Toubro Infotech,MERN Stack Developer,"Pune, Maharashtra, India"
15,LTI - Larsen & Toubro Infotech,Python+Java-Engineer,"Pune, Maharashtra, India"
16,ISS | Institutional Shareholder Services,Database Developer,"Mumbai, Maharashtra, India"
17,LTI - Larsen & Toubro Infotech,Python Developer,"Pune, Maharashtra, India"
18,YouGov India,Sales Administrator,"Mumbai, Maharashtra, India"
19,Augusta Infotech,"Software Specialist - Big Data - Hadoop, Redshift, Spark","Pune, Maharashtra, India"
20,Quantsapp,Quantsapp - Data Anaylst - Trading Analytics Platform (1-3 yrs) Mumba,"Mumbai, Maharashtra, India"
21,Fiserv,chnical Trainee - Data Science/ Machine Learning,Pune/Pimpri-Chinchwad Area
22, ,"Software Development Engineering, Analys","Pune, Maharashtra, India"
